CID,CO_MACSAUD,UF,CO_MUNICIP_R,NOME DO MUNICÍPIO,pop,MortPor100k,mortes_p_covid,A419,A419,J189,J189,J969,J969,J449,J449,J81X,J81X,tot2019,tot2020,dif20_19,%dif20_19,dif20_19_por100khab,tot2019_por100k,%dif20_19_por_mortes_covid
131,1304,AM,130353,Presidente Figueiredo,37193,115.61315301266367,43.0,18.0,16.0,9.0,4.0,3.0,6.0,4.0,3.0,2.0,2.0,36.0,31.0,-5.0,-13.888888888888884,-13.443389885193449,96.79240717339285,-11.627906976744185
132,1304,AM,130356,Rio Preto da Eva,34106,85.02902715064798,29.0,20.0,16.0,4.0,3.0,8.0,2.0,3.0,3.0,1.0,1.0,36.0,25.0,-11.0,-30.555555555555557,-32.25238960886648,105.55327508356301,-37.93103448275862
133,1304,AM,130360,Santa Isabel do Rio Negro,25865,96.65571235260003,25.0,11.0,10.0,4.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,17.0,17.0,0.0,0.0,0.0,65.72588439976803,0.0
134,1304,AM,130380,São Gabriel da Cachoeira,46303,140.37967302334621,65.0,47.0,48.0,36.0,27.0,11.0,18.0,0.0,4.0,2.0,7.0,96.0,104.0,8.0,8.333333333333325,17.277498218257996,207.32997861909593,12.307692307692308
135,1304,AM,130410,Tapauá,17015,58.771672054069946,10.0,6.0,5.0,0.0,10.0,10.0,10.0,2.0,4.0,6.0,2.0,24.0,31.0,7.0,29.166666666666675,41.14017043784896,141.05201292976784,70.0
136,1401,RR,140002,Amajari,13185,136.51877133105802,18.0,17.0,7.0,17.0,6.0,5.0,2.0,0.0,0.0,2.0,0.0,41.0,15.0,-26.0,-63.41463414634146,-197.19378081152826,310.9594235874099,-144.44444444444443
137,1401,RR,140005,Alto Alegre,15380,136.54096228868661,21.0,12.0,3.0,19.0,13.0,12.0,7.0,1.0,1.0,2.0,0.0,46.0,24.0,-22.0,-47.82608695652174,-143.04291287386215,299.0897269180754,-104.76190476190477
138,1401,RR,140010,Boa Vista,419652,140.59268155519337,590.0,153.0,100.0,173.0,97.0,89.0,84.0,52.0,23.0,29.0,30.0,496.0,334.0,-162.0,-32.66129032258065,-38.60341425752767,118.19316957860323,-27.45762711864407
139,1401,RR,140015,Bonfim,12557,151.31002628016245,19.0,4.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,5.0,-4.0,-44.44444444444444,-31.854742374771046,71.67317034323484,-21.052631578947366
140,1401,RR,140017,Cantá,18799,85.11091015479546,16.0,6.0,5.0,5.0,3.0,1.0,6.0,2.0,0.0,1.0,1.0,15.0,15.0,0.0,0.0,0.0,79.79147827012075,0.0
141,1401,RR,140020,Caracaraí,22283,85.26679531481398,19.0,5.0,9.0,5.0,12.0,6.0,5.0,1.0,0.0,4.0,0.0,21.0,26.0,5.0,23.809523809523814,22.43863034600368,94.24224745321546,26.31578947368421
