CO_MUNICIP,CO_MACSAUD
220630,2208
220640,2208
220672,2208
220675,2208
220695,2208
220710,2208
220750,2208
220775,2208
220779,2208
220880,2208
220945,2208
220980,2208
220990,2208
221040,2208
221050,2208
221065,2208
221100,2208
221110,2208
220120,2209
220150,2209
220191,2209
220196,2209
220200,2209
220208,2209
220217,2209
220240,2209
220253,2209
220265,2209
220270,2209
220272,2209
220342,2209
220370,2209
220465,2209
220540,2209
220545,2209
220557,2209
220570,2209
220580,2209
220585,2209
220610,2209
220635,2209
220667,2209
220669,2209
220680,2209
220770,2209
220790,2209
220830,2209
220840,2209
220850,2209
220987,2209
220997,2209
221005,2209
220045,2210
220070,2210
220080,2210
220100,2210
220110,2210
220115,2210
220130,2210
220170,2210
220190,2210
220192,2210
220198,2210
220211,2210
220225,2210
220230,2210
220245,2210
220250,2210
220275,2210
220285,2210
220290,2210
220300,2210
220310,2210
220320,2210
220323,2210
220335,2210
220345,2210
220360,2210
220375,2210
220380,2210
220390,2210
220410,2210
220440,2210
220450,2210
220455,2210
220510,2210
220530,2210
220535,2210
220552,2210
220553,2210
220556,2210
220560,2210
220590,2210
220600,2210
220660,2210
220665,2210
220670,2210
220730,2210
220735,2210
220740,2210
220760,2210
220785,2210
220793,2210
220795,2210
220855,2210
220870,2210
220885,2210
220887,2210
220890,2210
220900,2210
220920,2210
220930,2210
220955,2210
220970,2210
220975,2210
221000,2210
221010,2210
221035,2210
221039,2210
221060,2210
221062,2210
221063,2210
221090,2210
221095,2210
221120,2210
221135,2210
230070,2306
230110,2306
230427,2306
230445,2306
230535,2306
230600,2306
230620,2306
230670,2306
230680,2306
230690,2306
230700,2306
230760,2306
230870,2306
231000,2306
231080,2306
231123,2306
231150,2306
231180,2306
231250,2306
231310,2306
230040,2307
230150,2307
230185,2307
230240,2307
230280,2307
230300,2307
230393,2307
230526,2307
230533,2307
230660,2307
230763,2307
230835,2307
231030,2307
231040,2307
231050,2307
231130,2307
231140,2307
231270,2307
231300,2307
231330,2307
230010,2308
230030,2308
230060,2308
230080,2308
230130,2308
230160,2308
230170,2308
230180,2308
230190,2308
230200,2308
230250,2308
230270,2308
230320,2308
230330,2308
230360,2308
230380,2308
230420,2308
230426,2308
230430,2308
230480,2308
230540,2308
230550,2308
230570,2308
230710,2308
230720,2308
230730,2308
230740,2308
230750,2308
230810,2308
230830,2308
230840,2308
230850,2308
230920,2308
230950,2308
231060,2308
231090,2308
231110,2308
231120,2308
231135,2308
231190,2308
231195,2308
231210,2308
231325,2308
231370,2308
231400,2308
230020,2309
230050,2309
230125,2309
230205,2309
230230,2309
230260,2309
230310,2309
230340,2309
230365,2309
230390,2309
230400,2309
230410,2309
230423,2309
230425,2309
230435,2309
230450,2309
230465,2309
230470,2309
230490,2309
230500,2309
230520,2309
230530,2309
230560,2309
230565,2309
230580,2309
230590,2309
230610,2309
